CODES,DATES,high,open,low,close,change,pctchange,volume,turover
600036.SH,2019-06-03 11:00:00,146.06691,145.597687,145.128448,145.167557,-0.43013,-0.295424,4298251.0,146423884.0
600036.SH,2019-06-03 11:30:00,145.675888,145.167557,144.854736,145.480377,0.31282,0.215489,3975147.0,135072663.0
600036.SH,2019-06-03 13:30:00,146.49704,145.402176,145.245758,145.793198,0.31282,0.215026,3908886.0,133510209.0
600036.SH,2019-06-03 14:00:00,146.888077,145.832306,145.754089,145.9496,0.156403,0.107277,4309889.0,147662915.0
600036.SH,2019-06-03 14:30:00,146.184219,145.9496,145.558578,146.106018,0.156418,0.107173,3360150.0,114674025.0
600036.SH,2019-06-03 15:00:00,146.888077,146.145111,146.106018,146.888077,0.782059,0.535268,4944485.0,169672510.0
600036.SH,2019-06-04 09:30:00,146.888077,146.888077,146.888077,146.888077,0.0,0.0,141800.0,4877920.0
600036.SH,2019-06-04 10:00:00,146.92717,146.92717,145.363068,145.480377,-1.4077,-0.958348,5416600.0,185001088.0
600036.SH,2019-06-04 10:30:00,145.675888,145.558578,144.502808,145.128448,-0.351929,-0.241908,6012121.0,203974561.0
600036.SH,2019-06-04 11:00:00,145.167557,145.128448,144.541916,144.854736,-0.273712,-0.1886,2938271.0,99510960.0
600036.SH,2019-06-04 11:30:00,145.323959,144.893829,144.424606,145.206665,0.351929,0.242953,2662850.0,90203729.0
600036.SH,2019-06-04 13:30:00,145.714981,145.206665,144.932938,145.363068,0.156403,0.10771,2257693.0,76790161.0
600036.SH,2019-06-04 14:00:00,145.363068,145.363068,144.854736,145.284866,-0.078201,-0.053797,2764717.0,93861266.0
600036.SH,2019-06-04 14:30:00,145.323959,145.245758,144.541916,144.776535,-0.508331,-0.349886,3885010.0,131618722.0
600036.SH,2019-06-04 15:00:00,145.558578,144.776535,144.541916,145.441269,0.664734,0.459145,6710065.0,227733986.0
600036.SH,2019-06-05 09:30:00,146.614349,146.614349,146.614349,146.614349,0.300003,0.881584,278248.0,9552254.0
600036.SH,2019-06-05 10:00:00,147.083588,146.614349,145.558578,145.910507,-0.703842,-0.480064,7619272.0,261135536.0
600036.SH,2019-06-05 10:30:00,146.223328,145.871399,145.558578,145.597687,-0.31282,-0.214392,2828074.0,96596011.0
600036.SH,2019-06-05 11:00:00,145.675888,145.597687,145.363068,145.441269,-0.156418,-0.107432,2659541.0,90513416.0
600036.SH,2019-06-05 11:30:00,145.9496,145.441269,145.441269,145.832306,0.391037,0.268862,2501690.0,85312303.0
600036.SH,2019-06-05 13:30:00,146.145111,145.754089,145.754089,145.754089,-0.078217,-0.053635,2753614.0,94084926.0
600036.SH,2019-06-05 14:00:00,145.910507,145.754089,145.51947,145.636795,-0.117294,-0.080474,2147453.0,73207939.0
600036.SH,2019-06-05 14:30:00,145.910507,145.597687,145.441269,145.51947,-0.117325,-0.08056,2254535.0,76844849.0
600036.SH,2019-06-05 15:00:00,145.636795,145.51947,145.050247,145.128448,-0.391022,-0.268707,3884998.0,132091006.0
600036.SH,2019-06-06 09:30:00,145.832306,145.832306,145.832306,145.832306,0.18,0.530192,207000.0,7064910.0
600036.SH,2019-06-06 10:00:00,145.558578,145.323959,143.173325,144.307297,-1.525009,-1.045728,6940376.0,233655621.0
600036.SH,2019-06-06 10:30:00,145.284866,144.307297,144.268188,144.893829,0.586533,0.406447,3074108.0,104069437.0
600036.SH,2019-06-06 11:00:00,145.636795,144.893829,144.893829,145.284866,0.391037,0.269878,2451513.0,83359401.0
600036.SH,2019-06-06 11:30:00,145.714981,145.167557,145.167557,145.636795,0.351929,0.242234,2382053.0,81062192.0
600036.SH,2019-06-06 13:30:00,145.714981,145.636795,144.932938,145.363068,-0.273727,-0.187952,3664125.0,124611348.0
600036.SH,2019-06-06 14:00:00,145.675888,145.363068,145.128448,145.597687,0.234619,0.161402,2493041.0,84856561.0
600036.SH,2019-06-06 14:30:00,145.636795,145.597687,144.893829,144.893829,-0.703857,-0.483426,2736594.0,93015994.0
600036.SH,2019-06-06 15:00:00,145.323959,144.893829,144.189987,144.932938,0.039108,0.026991,6283700.0,212581196.0
