coin,short_period,long_period,coin_net,strategy_net,is_win
REEF,113,236,1.6511739871120656,0.7332012563733853,False
REEF,113,237,1.5802998617658528,0.7730082944371173,False
REEF,113,238,1.5850190195172242,0.7730082944371173,False
REEF,113,239,1.61662859422024,0.7473495540722742,False
REEF,114,115,2.578807334143097,1.3375023391793945,False
REEF,114,116,2.3194776818229115,1.4598443408874076,False
REEF,114,117,2.466530205797743,1.6222225981685856,False
REEF,114,118,2.569592530689874,1.5124111900768509,False
REEF,114,119,2.8591124791586506,1.3576625046318467,False
REEF,114,120,2.4639403150041446,1.2817035568421828,False
REEF,114,121,2.5224893917963227,1.213776637080685,False
REEF,114,122,2.5160835214446955,1.2662861702187493,False
REEF,114,123,2.541759306767003,1.2391232008451258,False
REEF,114,124,2.6720004794438452,1.2352139477256814,False
REEF,114,125,2.748766954377312,1.2675489596219296,False
REEF,114,126,2.9293692509855456,1.3678115450121775,False
REEF,114,127,2.7063858200801265,1.3659306256246027,False
REEF,114,128,2.6416044555042064,1.290338316300176,False
REEF,114,129,2.732761262641741,1.2005756508184258,False
REEF,114,130,2.685843373493976,1.2392147290243543,False
REEF,114,131,2.600466608340624,1.3089486531881924,False
REEF,114,132,2.402209051724138,1.3716912041481564,False
REEF,114,133,2.7062215477996965,1.4096145583375914,False
REEF,114,134,2.485367077317576,1.485206392640751,False
REEF,114,135,2.1538647342995167,1.626312352747153,False
REEF,114,136,2.0727568572756856,1.6263535418959911,False
REEF,114,137,2.1217817541521913,1.6934559897729744,False
REEF,114,138,2.0785547785547784,1.7064654969833437,False
REEF,114,139,2.141553388731447,1.679529977687125,False
REEF,114,140,2.2075060652572165,1.6049503693338902,False
REEF,114,141,2.0591631258082392,1.732439149355294,False
REEF,114,142,2.102867653994906,1.732439149355294,False
REEF,114,143,1.9014414875469123,1.8112405371292877,False
REEF,114,144,1.9470282545089306,1.7176637599810731,False
REEF,114,145,2.083411214953271,1.5811986416909818,False
REEF,114,146,1.9384782608695652,1.530851389444227,False
REEF,114,147,2.056408837230755,1.5766635092145607,False
REEF,114,148,2.0947660214245443,1.6037616885203636,False
REEF,114,149,2.1900481383240002,1.401042816886759,False
REEF,114,150,2.0828272446977483,1.3772277016476242,False
REEF,114,151,2.0864336187935795,1.3772277016476242,False
REEF,114,152,2.0669911914696337,1.500660916228987,False
REEF,114,153,2.0871173111131918,1.697900338935305,False
REEF,114,154,2.0936839633716833,1.6665186079289873,False
REEF,114,155,2.05498709439528,1.5655337834147272,False
REEF,114,156,2.01961406051821,1.671149127712086,False
REEF,114,157,1.9707819475754762,1.6307425250131304,False
REEF,114,158,1.978039041703638,0.9203335253308904,False
REEF,114,159,2.0342656385454214,0.9282913323503958,False
REEF,114,160,2.1035621608870017,0.9249499615894591,False
REEF,114,161,1.9990584226337265,1.1015287170529613,False
REEF,114,162,1.9320939504246837,1.1015287170529613,False
REEF,114,163,1.9868538324420675,1.1110532564894655,False
REEF,114,164,2.0365887082039102,1.0599691401635893,False
REEF,114,165,2.1500217003423834,1.0691343282523533,False
REEF,114,166,2.221142828675335,1.0691343282523533,False
REEF,114,167,2.3612435123397946,1.1315777855037061,False
REEF,114,168,2.324799249139639,1.1275046881963835,False
REEF,114,169,2.2212534874451975,1.1275046881963835,False
REEF,114,170,2.322135416666667,1.1282077790947118,False
REEF,114,171,2.2449647532729102,1.1185361819666766,False
REEF,114,172,2.112933036348988,1.1282077790947118,False
REEF,114,173,2.103066037735849,1.0933279688587412,False
REEF,114,174,2.1881134668237143,1.0726145948740222,False
REEF,114,175,2.317187256379606,1.0726145948740222,False
REEF,114,176,2.3410343922289316,1.0726145948740222,False
REEF,114,177,2.439671682626539,1.0533817596616788,False
REEF,114,178,2.442344563133388,1.0882598705432431,False
REEF,114,179,2.3648756166127405,1.0890122009535423,False
REEF,114,180,2.388951401168087,1.1430617593482129,False
REEF,114,181,2.400398406374502,1.1210194883266,False
REEF,114,182,2.310103626943005,1.1011773798026543,False
REEF,114,183,2.2479076333568617,1.0814980298735364,False
REEF,114,184,2.274628845467068,1.1423175027190056,False
REEF,114,185,2.457150730228713,1.1355603227504505,False
REEF,114,186,2.454310249917428,1.064990139068768,False
REEF,114,187,2.4812176526239638,1.0488610728753311,False
REEF,114,188,2.4863372741467766,1.0423786863973437,False
REEF,114,189,2.5332386363636363,1.0732473137915657,False
REEF,114,190,2.425206701479547,1.0767166616725106,False
REEF,114,191,2.4525551460476374,1.0767166616725106,False
REEF,114,192,2.387544179072507,1.0075786064038093,False
REEF,114,193,2.475981562725607,1.0206423182743305,False
REEF,114,194,2.1993389897395423,1.0100026035413763,False
REEF,114,195,2.310822017207422,1.0166988098809642,False
REEF,114,196,2.16705550695052,1.009839522557929,False
REEF,114,197,2.1457791895273846,1.0264632504872742,False
REEF,114,198,2.2056495498169584,1.06772104771022,False
REEF,114,199,2.119965764823356,1.0644622522735632,False
REEF,114,200,2.2430447250591135,1.0401428467562674,False
REEF,114,201,2.304968205552396,1.1077150753475025,False
REEF,114,202,2.245756308870196,1.1264054038289582,False
REEF,114,203,2.316705637828007,1.1292724252685111,False
REEF,114,204,2.334170985812261,1.0896706981764408,False
REEF,114,205,2.235509426393903,1.0807532799699944,False
REEF,114,206,2.187898714299735,0.9192092173159842,False
REEF,114,207,2.04134426079392,0.9172518409087307,False
REEF,114,208,2.0469675405169645,0.9293468202321643,False
REEF,114,209,2.0492255366089074,0.9241753566133332,False
REEF,114,210,1.7549694941940563,0.9241753566133332,False
REEF,114,211,1.8506911294674357,0.9649554945919887,False
REEF,114,212,1.8993354349493057,0.9683844536809255,False
REEF,114,213,1.8971533126249946,0.9538590574215352,False
REEF,114,214,1.7567674061231728,0.9718640645223012,False
REEF,114,215,1.6212727272727272,0.9897420969608615,False
REEF,114,216,1.5750521072526231,0.9599030513425257,False
REEF,114,217,1.5567931841195572,0.9559414418817086,False
REEF,114,218,1.5481977915132994,1.0330448250723092,False
REEF,114,219,1.550782608695652,1.0415527686764385,False
REEF,114,220,1.4915361969757794,1.0142757858486537,False
REEF,114,221,1.6361467889908257,0.9905839110647658,False
REEF,114,222,1.6707262234879712,0.9849649169404588,False
REEF,114,223,1.6305818673883627,1.0189904162900874,False
REEF,114,224,1.6490365055294598,0.958675974487568,False
REEF,114,225,1.6095667870036101,0.981090616722487,False
REEF,114,226,1.6049893804672593,0.9689048152409211,False
REEF,114,227,1.59969143554232,1.0183711299455092,False
REEF,114,228,1.5644957540880062,0.9024952469697698,False
REEF,114,229,1.5591341446356133,0.7668705986659524,False
REEF,114,230,1.4781844705258271,0.6651968452544055,False
REEF,114,231,1.5351904138833414,0.6651968452544055,False
REEF,114,232,1.4766178711002187,0.6217966742808526,False
REEF,114,233,1.6674146377949812,0.6217966742808526,False
REEF,114,234,1.5911848679514633,0.7117653166923941,False
REEF,114,235,1.6386122238965048,0.7096952382618049,False
REEF,114,236,1.6511739871120656,0.7332012563733853,False
REEF,114,237,1.5802998617658528,0.7386828244432362,False
REEF,114,238,1.5850190195172242,0.7386828244432362,False
REEF,114,239,1.61662859422024,0.8077302208625305,False
REEF,115,116,2.3194776818229115,1.337497372366638,False
REEF,115,117,2.466530205797743,1.4253116517901048,False
REEF,115,118,2.569592530689874,1.1853146236749657,False
REEF,115,119,2.8591124791586506,1.2182120946364265,False
REEF,115,120,2.4639403150041446,1.2335683313952999,False
REEF,115,121,2.5224893917963227,1.3083743783455455,False
REEF,115,122,2.5160835214446955,1.2962783619931062,False
REEF,115,123,2.541759306767003,1.3187992681797789,False
REEF,115,124,2.6720004794438452,1.3178547858582885,False
REEF,115,125,2.748766954377312,1.36904600917904,False
REEF,115,126,2.9293692509855456,1.3357437169301873,False
REEF,115,127,2.7063858200801265,1.334639481210693,False
REEF,115,128,2.6416044555042064,1.2872518274249336,False
REEF,115,129,2.732761262641741,1.353888766499374,False
REEF,115,130,2.685843373493976,1.353888766499374,False
REEF,115,131,2.600466608340624,1.418785456464487,False
REEF,115,132,2.402209051724138,1.443789699758606,False
REEF,115,133,2.7062215477996965,1.4750036206302883,False
REEF,115,134,2.485367077317576,1.5066638977051097,False
REEF,115,135,2.1538647342995167,1.626312352747153,False
REEF,115,136,2.0727568572756856,1.6812266295174652,False
REEF,115,137,2.1217817541521913,1.65050545788354,False
REEF,115,138,2.0785547785547784,1.6055410020853054,False
REEF,115,139,2.141553388731447,1.5949193576999943,False
REEF,115,140,2.2075060652572165,1.732439149355294,False
REEF,115,141,2.0591631258082392,1.732439149355294,False
REEF,115,142,2.102867653994906,1.5756965434047683,False
REEF,115,143,1.9014414875469123,1.6473683677093582,False
REEF,115,144,1.9470282545089306,1.6473683677093582,False
REEF,115,145,2.083411214953271,1.5595222422487447,False
REEF,115,146,1.9384782608695652,1.364754290766129,False
REEF,115,147,2.056408837230755,1.4142212345101488,False
REEF,115,148,2.0947660214245443,1.3834577419780447,False
REEF,115,149,2.1900481383240002,1.3757406441338549,False
REEF,115,150,2.0828272446977483,1.3891361152498445,False
REEF,115,151,2.0864336187935795,1.7064170869102087,False
REEF,115,152,2.0669911914696337,1.7064170869102087,False
REEF,115,153,2.0871173111131918,1.6748779436648633,False
REEF,115,154,2.0936839633716833,1.7089482667880458,False
REEF,115,155,2.05498709439528,1.6795316903530286,False
REEF,115,156,2.01961406051821,1.680848708012643,False
REEF,115,157,1.9707819475754762,1.680848708012643,False
REEF,115,158,1.978039041703638,2.026476381359655,True
REEF,115,159,2.0342656385454214,1.1110532564894655,False
REEF,115,160,2.1035621608870017,1.115944236200103,False
REEF,115,161,1.9990584226337265,1.094802391329315,False
REEF,115,162,1.9320939504246837,1.0900040724622526,False
REEF,115,163,1.9868538324420675,1.045103883509698,False
REEF,115,164,2.0365887082039102,1.0497045467631458,False
REEF,115,165,2.1500217003423834,1.045103883509698,False
REEF,115,166,2.221142828675335,1.1324680889347434,False
REEF,115,167,2.3612435123397946,1.1324680889347434,False
REEF,115,168,2.324799249139639,1.1331742749172171,False
REEF,115,169,2.2212534874451975,1.1117060026194505,False
REEF,115,170,2.322135416666667,1.1117060026194505,False
REEF,115,171,2.2449647532729102,1.077336363331313,False
REEF,115,172,2.112933036348988,1.0726145948740222,False
REEF,115,173,2.103066037735849,1.077336363331313,False
REEF,115,174,2.1881134668237143,1.077336363331313,False
