time_stamp,open,high,low,close,vol
2019-10-11,3.1057,3.2,3.027,3.0594,8675517.97
2019-10-12,3.0601,3.1464,3.0373,3.0655,4917439.38
2019-10-13,3.0645,3.1372,3.0389,3.1027,4323540.89
2019-10-14,3.1017,3.2,3.0903,3.1634,5222661.53
2019-10-15,3.1632,3.1707,2.8058,2.9619,8486873.65
2019-10-16,2.962,2.985,2.845,2.9241,6030571.37
2019-10-17,2.9234,2.9742,2.88,2.9473,3979587.96
2019-10-18,2.9476,2.9525,2.7,2.8782,7459593.53
2019-10-19,2.879,2.926,2.8289,2.8678,4462418.53
2019-10-20,2.8685,2.9417,2.8134,2.9225,4299828.88
2019-10-21,2.9225,2.974,2.8591,2.9185,4164497.05
2019-10-22,2.9199,3.0269,2.85,2.892,6721532.73
2019-10-23,2.8918,2.9085,2.533,2.7158,12615241.25
2019-10-24,2.7156,2.7806,2.6486,2.7217,6387068.19
2019-10-25,2.7216,3.3323,2.716,3.1771,20518259.45
2019-10-26,3.1776,3.55,2.985,3.1339,26618243.21
2019-10-27,3.1338,3.4898,3.0663,3.3281,18393829.15
2019-10-28,3.3288,3.5469,3.2449,3.2822,15629480.04
2019-10-29,3.2818,3.46,3.2734,3.4022,9541450.73
2019-10-30,3.4028,3.4215,3.1814,3.2672,8279459.56
2019-10-31,3.2677,3.3293,3.1552,3.2531,7081695.84
2019-11-01,3.2545,3.39,3.1994,3.3419,6616219.42
2019-11-02,3.342,3.3781,3.2917,3.3221,4116286.28
2019-11-03,3.3222,3.3402,3.1827,3.2702,3601852.87
2019-11-04,3.2707,3.4984,3.2377,3.438,9847237.14
2019-11-05,3.438,3.6886,3.4031,3.618,11862081.71
2019-11-06,3.6155,3.6771,3.5411,3.6039,7558142.58
2019-11-07,3.6064,3.6345,3.423,3.4661,7090156.55
2019-11-08,3.4677,3.5538,3.3282,3.4114,8143795.07
2019-11-09,3.41,3.5042,3.4048,3.488,3548863.29
2019-11-10,3.4905,3.67,3.4491,3.5828,6479819.98
2019-11-11,3.5824,3.5984,3.4049,3.4372,5105031.36
2019-11-12,3.4377,3.5244,3.3802,3.4824,6593303.19
2019-11-13,3.483,3.4922,3.417,3.4714,4123933.86
2019-11-14,3.4694,3.48,3.3296,3.3953,4381838.39
2019-11-15,3.3948,3.503,3.2811,3.3334,7669539.7
2019-11-16,3.3334,3.402,3.3163,3.3736,2701799.6
2019-11-17,3.3733,3.4413,3.316,3.3958,3887655.66
2019-11-18,3.3968,3.4013,3.0179,3.181,9215243.31
