date,open,high,low,close,volume,amount,turn,pctChg
2011-09-13,9.4939416000,9.4939416000,9.1870667200,9.2350159200,8300034,80300381.4300,0.354753,-3.988000
2011-09-14,9.2350159200,9.3405041600,9.1199378400,9.3117346400,4179001,40316045.4600,0.178615,0.830700
2011-09-15,9.3117346400,9.3788635200,9.2637854400,9.3213244800,5255667,51125982.8900,0.224633,0.103000
2011-09-16,9.3788635200,9.4268127200,9.2925549600,9.3117346400,4058616,39606907.0400,0.173470,-0.102900
2011-09-19,9.2541956000,9.2829651200,9.1007581600,9.1007581600,3858083,36751365.7400,0.164899,-2.265700
2011-09-20,9.1295276800,9.3884533600,9.0528089600,9.2541956000,4288373,41222626.7600,0.183290,1.686000
2011-09-21,9.2446057600,9.7912266400,9.1678870400,9.6569688800,10476813,103776818.8000,0.447791,4.352300
2011-09-22,9.5898400000,9.7720469600,9.4172228800,9.4268127200,11252138,112646525.6200,0.480930,-2.383300
2011-09-23,9.2254260800,9.4172228800,9.1391175200,9.3500940000,5359597,51911254.5600,0.229076,-0.813800
2011-09-26,9.2637854400,9.4939416000,9.1103480000,9.1582972000,5056583,48958832.4800,0.216124,-2.051300
2011-09-27,9.2541956000,9.2925549600,9.1199378400,9.2158362400,3954949,37989778.3100,0.169039,0.628300
2011-09-28,9.2733752800,9.3500940000,9.1487073600,9.1774768800,5553979,53656392.7200,0.237384,-0.416200
2011-09-29,9.2062464000,9.2062464000,8.8706020000,8.8993715200,5890061,55263381.9500,0.251748,-3.030300
2011-09-30,8.9856800800,8.9952699200,8.4965982400,8.6212661600,8195268,74463599.1600,0.350275,-3.125000
2011-10-10,8.6212661600,8.7075747200,8.3911100000,8.4198795200,5205161,46409065.1000,0.222475,-2.335900
2011-10-11,8.5924966400,8.6692153600,8.3431608000,8.4294693600,4189523,37162350.3100,0.179065,0.113900
2011-10-13,8.6404458400,8.9089613600,8.6116763200,8.8034731200,11423686,104363400.3300,0.488262,4.436900
2011-10-14,8.7651137600,8.8514223200,8.4390592000,8.5924966400,12920853,115723024.4600,0.552253,-2.396500
2011-10-17,8.5924966400,9.0528089600,8.5349576000,8.9856800800,16260231,149311549.3500,0.694982,4.575900
2011-10-18,8.8706020000,8.9569105600,8.6979848800,8.8418324800,9521468,87456732.4300,0.406959,-1.600900
2011-10-19,8.8226528000,8.8801918400,8.7171645600,8.7363442400,10259859,94000637.5200,0.438519,-1.193100
2011-10-20,8.6883950400,8.6883950400,8.1034148000,8.2376725600,11564847,99667966.3100,0.494295,-5.708000
2011-10-21,8.1993132000,8.2856217600,7.8157196000,7.8348992800,8674864,72585765.9100,0.370774,-4.889400
2011-10-24,7.9307976800,7.9403875200,7.6335126400,7.9116180000,7485302,60906263.7100,0.319931,0.979200
2011-10-25,7.8924383200,8.1321843200,7.8540789600,8.0842351200,8130699,67972013.5900,0.347516,2.181800
2011-10-26,8.0075164000,8.2472624000,7.9691570400,8.1321843200,8907319,75494990.6400,0.380709,0.593100
2011-10-27,8.1225944800,8.3335709600,8.1130046400,8.1897233600,7769192,66741093.6500,0.332064,0.707500
2011-10-28,8.2856217600,8.4965982400,8.1993132000,8.4198795200,9371029,81424231.1300,0.400529,2.810300
2011-11-01,8.4486490400,8.5541372800,8.3143912800,8.3815201600,9615510,84596994.3400,0.410978,-0.455600
2011-11-02,8.3143912800,8.5157779200,8.1321843200,8.4870084000,13734867,118637692.7500,0.587044,1.258600
2011-11-03,8.4870084000,8.7171645600,8.4774185600,8.6308560000,13726227,122999183.9100,0.586675,1.694900
2011-11-04,8.7075747200,8.9473207200,8.5924966400,8.9089613600,17032852,155574044.3900,0.728004,3.222200
2011-11-07,8.8322426400,9.0528089600,8.7555239200,8.9665004000,11934337,110883443.1000,0.510088,0.645900
2011-11-08,8.9569105600,8.9952699200,8.8322426400,8.9569105600,8943264,83090636.3800,0.382246,-0.107000
2011-11-09,8.9569105600,9.1391175200,8.8706020000,9.0336292800,26052623,245060401.1300,1.113520,0.856500
2011-11-10,8.8993715200,9.0432191200,8.7267544000,8.7267544000,12285566,113759062.0100,0.525100,-3.397000
2011-11-11,8.7747036000,8.8418324800,8.6692153600,8.8130629600,8120250,74111489.6800,0.347069,0.989000
2011-11-14,8.8418324800,9.5706603200,8.8130629600,9.5418908000,33988793,326443079.3300,1.452721,8.269900
2011-11-15,9.4459924000,9.5706603200,9.2062464000,9.3021448000,40930287,400152045.5700,1.749409,-2.512600
2011-11-16,9.2829651200,9.2829651200,8.8897816800,8.9185512000,18666398,176372917.7500,0.797824,-4.123700
2011-11-17,9.0336292800,9.2062464000,8.8801918400,9.0336292800,14017261,132217976.5900,0.599114,1.290300
2011-11-18,9.0144496000,9.0911683200,8.7555239200,8.7938832800,12965095,120686486.0200,0.554144,-2.653900
2011-11-21,8.8034731200,8.8801918400,8.7075747200,8.8706020000,5433880,49900638.8200,0.232250,0.872400
2011-11-22,8.7747036000,8.8610121600,8.6404458400,8.7459340800,5040102,46025154.6900,0.215420,-1.405400
2011-11-23,8.7459340800,8.8418324800,8.6692153600,8.7651137600,11198145,102414661.4500,0.478622,0.219300
2011-11-24,8.6883950400,8.6883950400,8.4102896800,8.5061880800,8259255,73635462.5000,0.353010,-2.954000
2011-11-25,8.5061880800,8.5733169600,8.2856217600,8.3048014400,4890538,42909506.0600,0.209027,-2.367500
2011-11-28,8.3239811200,8.4678287200,8.2568522400,8.3431608000,4365125,37965829.2400,0.186571,0.461900
2011-11-29,8.4006998400,8.7459340800,8.3623404800,8.6596255200,9899040,88514721.9100,0.423097,3.793100
2011-11-30,8.6308560000,8.7555239200,8.3431608000,8.3527506400,12053000,107814401.0300,0.515160,-3.543700
2011-12-01,8.6404458400,8.7267544000,8.4486490400,8.5253677600,7541631,67755503.5900,0.322338,2.066600
2011-12-02,8.4870084000,8.6116763200,8.1705436800,8.1897233600,6738894,58586897.9800,0.288028,-3.937000
2011-12-05,8.2376725600,8.2376725600,7.9212078400,7.9403875200,5455053,45694063.6200,0.233155,-3.044500
2011-12-06,7.9595672000,8.0075164000,7.8157196000,7.9691570400,4973630,40996676.3900,0.212579,0.362300
2011-12-07,7.9787468800,8.0938249600,7.9212078400,7.9883367200,4269780,35673219.2200,0.182495,0.240700
2011-12-08,8.0075164000,8.0746452800,7.8348992800,7.9691570400,4377775,36323291.1000,0.187111,-0.240100
2011-12-09,7.9212078400,8.0650554400,7.8636688000,7.9883367200,3058710,25462749.8300,0.130733,0.240700
2011-12-12,8.0458757600,8.0554656000,7.9499773600,7.9691570400,2939592,24580798.8200,0.125642,-0.240100
2011-12-13,7.9403875200,7.9595672000,7.7485907200,7.7485907200,4741606,38700461.8800,0.202662,-2.767700
2011-12-14,7.7677704000,7.8636688000,7.6335126400,7.6622821600,3238100,26151537.6800,0.138400,-1.113900
2011-12-15,7.6718720000,7.6814618400,7.2595088800,7.2882784000,5637827,43846037.1400,0.240967,-4.881100
2011-12-16,7.2882784000,7.4033564800,7.0005832000,7.3937666400,7008353,53004397.5500,0.299545,1.447400
2011-12-19,7.3649971200,7.6047431200,7.0773019200,7.5280244000,9349671,72081335.6400,0.399616,1.815800
2011-12-20,7.5567939200,7.5567939200,7.3458174400,7.3649971200,5794868,45021818.9700,0.247680,-2.165600
2011-12-21,7.4608955200,7.4704853600,7.1060714400,7.1252511200,4448254,33994481.3200,0.190124,-3.255200
2011-12-22,7.0868917600,7.1636104800,6.7896067200,7.0677120800,5796753,42351324.8100,0.247760,-0.807500
2011-12-23,7.0485324000,7.2115596800,7.0197628800,7.0773019200,3480366,25885726.5200,0.148755,0.135700
2011-12-26,7.0773019200,7.1444308000,6.9622238400,7.0389425600,2552165,18844055.1300,0.109083,-0.542000
2011-12-27,7.0677120800,7.1348409600,6.9526340000,6.9622238400,2516302,18451730.9800,0.107550,-1.089900
2012-01-04,7.2978682400,7.6622821600,7.1923800000,7.3554072800,22403342,172921879.7200,0.957549,5.647400
2012-01-05,7.2403292000,7.6143329600,7.1060714400,7.4033564800,18884525,143378896.3700,0.807150,0.651900
2012-01-06,7.2882784000,7.4513056800,6.7991965600,6.9238644800,26085129,194489750.7300,1.114914,-6.476700
2012-01-09,6.9430441600,7.1060714400,6.6553489600,7.0773019200,12959813,93233990.2200,0.553920,2.216100
2012-01-10,7.0964816000,7.4321260000,7.0197628800,7.3554072800,23510580,178431785.3800,1.004874,3.929500
2012-01-11,7.3554072800,7.5088447200,7.2882784000,7.3362276000,13034818,100257286.2700,0.557126,-0.260800
2012-01-12,7.2978682400,7.4225361600,7.2499190400,7.3074580800,9168753,69982274.5000,0.391885,-0.392200
2012-01-13,7.3458174400,7.3745869600,6.9909933600,7.0293527200,9020133,67071209.2400,0.385533,-3.805800
